name,distance
Hồ Dương Văn Bé,770.3
Công viên hồ Cần,1075.8
Hồ Cần,1210.8
Đình Ông,1807.6
Hanoi Youth Park,1897.3
Đền Lư Giang,2041.3
Công viên KĐT Vĩnh Hoàng,2321.2
Đình Hoàng Mai,2344.8
Chùa Nga My,2363.6
Công viên Đền Lừ,2523.5
Den Lu Lake,2554.0
Hồ Sơn,2591.9
Hồ Vĩnh Hoàng,2625.8
Vườn hoa Vĩnh Hưng,2644.7
Hồ Thanh Trì,2660.3
Yersin Garden,2809.0
Công viên Hoàng Văn Thụ,2842.2
Pasteur Garden,2852.4
Chùa Thọ Lão,2901.3
Hai Bà Trưng Lake,2924.8
Chùa Vua,3092.5
Yen So Park,3165.6
Vườn hoa Đàn Nam,3339.8
Vườn hoa Tăng Bạt Hổ,3473.8
Hồ Tiền,3556.0
Vườn hoa Đại học Kinh tế Quốc dân,3571.6
Đài phun nước Bách Khoa,3583.2
Thong Nhat Park,3592.9
Vườn hoa Tao Đàn,3732.6
Ao Nhà Thờ Làng Tám,3938.3
August 19 Garden,3942.9
Vườn hoa Bác Cổ,3960.5
Vườn hoa Kim Liên,4018.4
Music Garden,4081.1
Co Tan Park,4115.6
Hồ Rùa,4129.2
Vườn hoa Đào Duy Anh,4210.9
Công viên Ba Mẫu,4227.4
Hồ Không Lực,4239.7
Hồ Kim Liên,4246.0
Công viên,4289.7
Dien Hong Park,4303.8
Đền Kim Liên,4369.1
Dòng Thánh Phao lô Hà Nội,4388.3
Hồ Hố Mẻ,4410.4
Ly Thai To Park,4499.0
Công viên nội bộ,4517.0
Vườn hoa Hàng Vôi,4528.2
Đình làng Trung Tự,4593.8
Tay Son Park,4711.9
Khu vui chơi trẻ em,4746.3
Quan Su Park,4838.2
Hang Trong Garden,4902.2
Hanoi Archbishop’s Residence,4912.8
Vườn hoa Định Công,4941.6
Công viên Con Voi,4948.9
St Joseph Major Seminary Hanoi,5013.4
Ngoc Son Temple,5095.4
Jade Island,5095.4
Ao Khương Thượng,5158.0
Chùa Bộc,5178.4
Vườn hoa Cửa Nam,5194.3
Xa Dan Lake,5217.3
Vườn hoa Thuỷ lợi,5483.7
Chùa Linh Ứng,5603.6
"Đình, đền Trung Tả",5605.3
Chùa Bụt Mọc,5633.0
Lenin Park,5635.7
Vườn hoa Công đoàn,5676.4
Hồ Định Công,5696.3
Hồ Văn Chương,5708.8
Đại Từ,5726.3
Vườn hoa Phùng Hưng,5730.9
Chùa Nam Đồng,5758.3
Gò Đống Đa,5804.6
Chùa Bà Nành,5807.1
Đền thờ Quang Trung,5973.2
Vườn hoa 1-6,5989.3
Chùa Phúc Lâm,6011.5
Chùa Pháp Bảo Tạng,6074.0
Vườn hoa Kính Thiên,6084.5
Temple of Literature,6102.4
Văn Lake,6176.6
Vườn hoa Trần Quang Diệu,6189.7
Bai Say Garden,6232.3
Thien Quang Lake,6233.0
Van Xuan Garden,6254.3
Archeological site of Thang Long Imperial Citadel,6264.7
Giam Garden,6266.1
Công viên Linh Đàm,6330.7
Chùa Thanh Nhàn,6370.3
Le Truc Green Space,6393.1
Ao cá đình Khương Hạ,6450.9
Dong Da Lake,6467.0
Vườn hoa Hoàng Văn Thụ,6517.3
Yen Thanh Temple,6520.4
Thủy đình Nhân Chính,6568.9
Miếu Thôn Hạ,6594.7
Diện tích Chùa Một Cột,6599.1
Sân chơi khu tập thể B8,6603.5
Công viên Bắc Linh Đàm,6616.5
Hồ Linh Chiểu,6649.0
One Pillar Pagoda,6662.3
Vườn hoa Hoàng Cầu,6670.2
Đình Ứng Thiên,6730.5
Hồ Khương Đình,6771.6
Presidential Palace Historical Site,6812.8
Đình Quan Nhân,6838.2
Lăng Phùng Hưng,6839.3
Fish pond,6872.6
Ao dài,6887.7
Culture Village at Yen So Park,6909.0
Hồ câu Yên Mỹ,6918.3
Yen So Lake,6935.6
Ao đầu làng,7010.3
Chùa Kim Sơn,7056.5
Indira Gandhi Park,7056.7
Hồ Đầm Tròn,7121.5
Hao Nam Temple,7188.8
Sân chơi tòa nhà Huy Hoàng,7193.7
Công viên Bán đảo Linh Đàm,7207.8
Hồ Bảy Gian,7229.1
Ngoc Ha Lake,7243.0
Ao,7243.0
Quan Thanh Temple,7250.6
Sân chơi GoldSeason,7270.6
Đầm Chuối,7306.6
Vườn hoa hồ Giảng Võ,7337.3
Hanoi Botanical Gardens,7347.7
West Lake,7404.0
Vườn Bách Thảo,7580.7
Yen My Pagoda,7598.1
Hồ trước đình Bằng A,7601.9
Hồ Hạ Đình,7626.9
Ao sen,7653.0
Ao đường trong,7665.2
Ao Đình Bằng A,7693.2
Núi chùa,7694.4
Vườn hoa Bắc Long Biên,7707.7
Hồ Quạt Rẻ,7722.6
Phuc Thanh Garden,7742.3
Vườn hoa Trung Hòa - Nhân Chính,7793.4
Ao cá,7814.0
Tran Quoc Pagoda,7856.0
Giang Vo Lake,7890.8
Dong Tri Parish Church,7907.5
12 Zodiac Garden,7934.7
Vườn hoa Thanh Xuân Bắc,7951.0
Ao đình,7989.6
An Duong Tennis Courts,8028.3
Bamboo Garden,8084.9
Công viên Thanh Xuân,8093.0
Ao làng,8129.9
Công viên Trung Yên,8190.3
Lang Lake,8258.1
ASEAN Square,8406.7
Chùa Láng,8420.3
Công viên Yên Hòa,8425.8
Chùa Vĩnh Khánh,8486.1
Chính điện,8499.4
Ao Phủ,8515.6
Vườn hoa Nguyễn Đình Thi,8542.1
Trung Kinh Hạ Playgroung,8642.9
Đình Chung,8721.0
Vườn hoa Yên Hòa,8833.9
Vườn hoa Biệt thự Quốc Hội,8883.8
Phung Khoang Park,8919.9
Hồ Phùng Khoang,9082.3
Ao Chùa,9127.8
Chùa Cót,9235.7
Hồ Quận uỷ,9276.1
Vườn Trung Văn,9328.2
Vườn hoa,9542.7
Chùa Tĩnh Lâu,9654.9
Ao Đình Tây Hồ,9775.2
Vườn hoa Phụ nữ tự quản,9805.9
Vườn hoa Việt Kiều,9842.8
Cau Giay Park,9948.7
Chùa Cống Yên,9989.2
Ao Tháp,9992.5
Hồ Văn Quán,10044.8
Chùa Hà,10053.8
Công viên Nghĩa Đô,10092.7
Ao Mỗ Lao,10119.6
Landmark72 Garden,10140.4
Ao Cầu,10174.9
Văn Quán Lake Park,10175.4
Nghĩa trang Họ Phạm,10265.2
Nghĩa trang thôn chử xá,10284.0
Sân betong bóng rổ + đá bóng mini,10344.2
Vườn hoa Văn Quán,10403.5
Công viên - Bãi xe ngầm Mễ Trì Hạ,10410.0
Hồ Quảng Bá,10423.9
Ao Đình Văn Quán,10503.8
Ao xóm đông,10524.3
Công viên tổ 9 Mỗ Lao,10565.4
Ao Dài,10621.4
Chùa Phúc Long,10726.6
Thung lũng hoa Hồ Tây,10738.5
Ao Tròn,10775.6
Vườn hoa Nghĩa Tân,10860.2
Sân Cây Đề,10885.6
Chùa Thanh An,10925.0
Vườn hoa Nguyễn Trãi,10991.6
Đầm Đông,11093.6
Hồ Nghĩa Tân,11115.2
Cung Đình,11331.5
Vườn hoa Đặng Thuỳ Trâm,11420.3
Đài tưởng niệm Liệt sĩ Phường Mai Dịch,11458.2
Vườn hoa Hà Đông,11492.8
Pond of Red River,11521.4
Mễ Trì Park,11546.9
Miếu Tranh Khúc,11617.7
The Matrix One Private Park,11718.3
Vườn thực vật,11917.2
Đài phun nước,12080.7
Vườn hoa Lạc Long Quân,12135.0
Miếu Thần Gò,12322.8
Mai Dich Cemetery Park,12420.3
Ao Phú Đô,12438.7
Mai Dich Park,12450.3
Chùa Đại An,12472.8
Công viên Ngoại giao Đoàn,12631.5
Hồ Phú Đô,12806.2
Astronomy Park,12940.5
Đền mẫu Đại Lộ,12973.8
Hồ Văn Khê,13235.8
Miếu Cậu Quận,13289.0
Peace Park,13313.0
Dam Temple,13362.4
Công viên Văn Phú,13451.5
Hồ Điều Hòa,13480.5
Friendship Garden,13487.6
Japanese Garden,13522.2
Pineapple Park,13778.8
Pomelo Park,13798.1
Công viên OCT1,13833.5
Năm Sấu Garden,13981.8
Fresh Garden,13987.2
Thi Cam Temple,14192.6
Vien Village Communal Temple,14200.4
Ao Thị Cấm,14478.0
Công viên Hà Cầu,14651.9
Hồ Tây Mỗ,14776.1
Công viên Thể thao,14776.4
Central Park,14956.7
Hồ câu Hùng Thông,15035.3
Quảng trường,15105.0
Bể bơi Dương Nội,15176.4
Bể bơi trẻ em,15520.2
Bể bơi,15536.1
1,15552.9
Tonkin's park,15845.2
Công Viên C Khu Chung Cư Vân Canh,15897.8
Ao cầu Vòng,15995.2
Vườn nhà ai đó - Mạnh,16247.0
Hồ Phú Diễn,16369.8
Park B - Van Canh Resident Area,16431.9
Công viên Âm nhạc Đô Nghĩa,16519.7
Hồ Tâm Linh,16595.6
Van Canh War Soldier Memorial,16629.3
Bi Temple Pond,16736.3
Park A - Van Canh Resident Area,16737.4
Chùa Cả,17187.1
Hau Ai Village Pond,17322.6
Chùa Ngãi Cầu,17713.2
Công viên Nam An Khánh,18450.0
Đình Phượng Nghĩa,20169.7
Văn Quán Phượng Nghĩa,20450.2
Ao Đình,20568.5
Giếng Quán,21336.7
Ao Lão,21373.7
Ao Mục Bài,21533.1
Hồ Sen Chùa Đậu,21682.4
Ao Đình Làng Vân Côn,22580.6
Sân chơi khu đô thị Tân Tây Đô,23449.4
Hồ Bán Nguyệt,23718.9
Bao Quyen farm,25471.8
Sông Đình,25540.7
Giếng đình thôn Nghiêm Xá,25592.0
Ao cá nhà Truyền thống,25958.3
Ao sen nhà Truyền Thống,25982.0
Long Tri Lake,26294.3
Ao Sen làng Liễu Viên,26331.6
Hồ 3 góc,27340.4
Chùa Tiên Tân,28902.4
Đình Tiên Tân,28935.8
Pearl Well,29376.8
Ao Phục Viên,29407.7
Hồ nước,29515.1
Ao trường học,30079.0
Phim trường Smiley Ville,30231.1
Giếng làng Trung Lập,30235.4
Trúc Động Lake,32230.2
Đình Chùa Đồng Kho,32414.8
Trúc Động Pagoda,32523.2
Đồng Táng Village Temple,32553.2
Nhà thờ họ Phí Trúc Động,32573.0
Hồ Câu Phúc Thành,32710.3
